y,x1,x2,x3,z
-0.089,-0.221,-0.892,0.627,1
0.728,-1.939,-0.775,0.947,1
0.957,-0.207,-0.192,0.169,1
1.302,1.323,0.627,-0.161,1
-0.066,0.477,0.059,-0.925,1
0.403,0.405,1.263,0.244,0
-1.56,-0.841,-0.676,-0.506,1
0.098,0.859,0.997,-0.537,1
-0.354,0.5,0.024,0.542,0
-1.338,0.002,-0.384,-0.55,0
-0.042,-2.16,-1.702,-1.009,0
2.071,1.371,0.361,0.021,1
-0.583,-0.513,0.224,0.73,1
0.124,-0.095,-0.581,-0.987,1
-0.514,0.683,0.578,0.231,0
-0.431,0.165,-0.035,-0.819,0
-1.031,-0.426,-0.685,-0.474,0
0.673,-1.096,-0.81,0.752,1
-0.091,0.092,0.338,0.793,1
0.956,-1.082,-1.948,-0.248,1
1.557,1.402,1.257,1.306,1
-0.777,0.062,-0.647,-0.921,1
-0.782,0.546,-0.221,0.579,1
0.323,-0.711,0.303,1.119,0
1.692,0.985,0.858,0.18,0
-0.035,-0.637,-0.778,-0.093,0
1.951,-0.414,-0.823,-0.145,0
1.904,0.286,0.627,0.695,0
0.827,0.943,1.363,0.36,0
-0.09,0.327,-0.072,-0.385,1
0.116,-0.781,-0.403,-0.335,0
-0.542,-1.064,0.23,1.373,1
2.461,1.013,0.655,1.603,1
1.235,1.239,0.077,0.858,1
0.808,0.096,0.931,-0.358,1
0.8,-0.25,0.053,0.873,0
1.856,-1.014,-1.402,0.834,1
-0.033,-1.019,0.275,0.319,0
0.114,-0.109,-0.317,0.371,1
1.575,0.334,0.548,-1.27,0
1.818,1.017,0.82,0.494,0
-0.754,-0.752,-1.071,-1.498,1
-0.126,-1.867,-1.295,0.025,1
0.913,0.057,1.289,0.88,0
0.184,-1.26,0.056,-0.22,1
-0.548,1.325,0.575,0.384,0
-2.462,-0.669,-1.04,-3.524,1
-0.287,0.346,0.106,2.286,0
-0.359,0.296,0.843,0.83,0
-0.497,0.496,0.355,-0.749,0
0.649,-0.912,0.586,0.911,0
0.065,1.187,-0.394,0.344,0
0.137,-0.051,0.395,-0.852,0
-0.331,0.402,1.051,1.492,0
-0.66,-1.664,-2.414,-0.675,0
1.657,1.205,0.86,-0.171,1
0.693,-0.172,0.414,0.129,0
-0.767,-1.057,0.04,0.08,1
1.406,1.838,0.426,0.657,1
2.105,-0.042,-0.297,-0.006,0
-0.389,-1.227,-0.86,-0.982,1
-1.183,-0.127,-1.501,-1.022,0
-0.329,-1.119,0.105,0.847,0
-0.585,-0.984,-0.823,-2.376,1
0.493,0.249,1.239,-0.909,1
1.045,0.766,1.119,0.05,1
-1.444,0.108,-0.194,0.131,0
-1.255,-0.878,-1.454,-0.944,1
1.985,1.346,2.1,1.31,0
0.762,0.631,0.93,1.445,0
-0.822,-1.143,-1.17,0.473,0
0.382,0.764,-0.132,0.557,1
-0.259,-0.141,-0.003,-1.383,0
1.664,0.634,0.417,0.607,1
0.113,-0.42,-0.501,0.741,1
0.379,1.369,-0.31,-2.117,1
0.4,-0.014,1.295,0.755,1
1.217,1.13,0.052,0.119,1
0.839,-0.531,1.39,0.965,0
0.948,-0.404,0.069,0.934,0
1.694,-0.07,1.502,0.618,1
2.551,1.278,2.43,-0.761,0
0.703,2.756,0.157,-0.761,0
1.158,1.039,0.734,1.015,0
0.704,-1.857,-1.638,-0.298,0
-1.081,-0.702,-0.365,-0.823,0
-0.55,-0.388,-0.175,1.162,0
0.629,0.044,0.541,-0.017,1
0.136,-0.039,-0.178,-1.087,0
-0.787,-0.283,-0.283,-0.26,1
0.775,0.659,0.746,0.199,1
-0.917,-1.149,-1.494,-2.532,0
-1.468,0.86,-0.206,1.346,1
-0.225,-0.865,0.696,-0.54,1
-0.494,-1.152,-0.159,-0.932,1
0.198,0.499,0.452,0.086,0
1.613,0.105,0.33,0.262,0
-1.356,-0.855,1.441,-1.249,0
-0.412,0.384,0.119,0.008,1
-2.071,-0.043,-0.336,1.609,1
-0.322,-1.517,-2.29,0.132,1
0.085,-0.21,0.732,0.252,1
0.012,0.917,0.396,-0.813,1
0.545,-0.933,-1.326,-1.998,1
0.291,-0.981,-1.721,-1.426,0
0.543,-0.042,0.582,0.132,1
-0.613,-0.827,-1.526,0.311,0
1.191,0.834,0.162,-0.801,0
-0.726,-2.035,-0.629,-1.702,1
-0.496,-0.512,-0.048,0.961,1
-2.417,-1.41,-0.784,-1.437,0
0.432,0.324,1.412,0.603,0
1.215,1.175,0.141,0.171,0
2.23,-1.038,-1.31,1.42,0
-0.038,0.781,-0.665,-0.369,0
1.424,1.842,1.314,1.743,1
0.826,1.928,1.599,-0.177,1
0.24,-0.517,-1.245,-0.077,0
-2.245,-0.733,-0.943,-0.845,0
0.419,-0.543,-0.411,0.51,0
0.898,0.686,-0.208,-0.206,0
1.445,1.523,0.198,0.754,1
0.571,0.484,0.303,1.106,1
0.413,-0.118,-1.306,-0.533,1
-0.287,-0.236,-0.732,-1.192,0
-1.366,-2.927,-1.135,-1.282,1
1.406,-1.442,-1.539,-0.636,0
-0.741,-2.129,-1.01,0.445,0
2.386,1.325,0.932,1.616,1
-2.563,-0.997,0.267,-0.542,1
4.1,1.761,2.183,1.39,1
1.412,-0.126,-0.249,-0.836,1
-0.127,-0.341,-0.815,-0.651,1
1.345,0.633,0.457,0.578,1
0.223,-0.575,-1.041,-0.2,0
-0.492,0.562,-0.18,0.257,0
2.314,0.653,1.979,2.253,0
1.365,2.117,1.447,1.979,0
-0.45,0.785,-0.189,0.021,0
0.686,-0.539,-1.75,-0.769,0
1.186,-0.584,-0.053,0.6,1
0.815,0.839,1.159,1.615,1
-1.097,-0.805,0.432,-1.848,1
-0.793,-0.419,-0.844,0.573,0
1.157,0.0,-0.83,1.518,1
-0.591,-0.119,0.838,0.794,0
0.902,0.592,0.762,0.07,0
0.531,0.416,-0.765,-0.488,0
0.096,0.344,-0.611,1.371,0
1.31,0.772,0.429,-0.669,0
-0.071,1.084,-0.661,-0.192,1
-0.547,-1.668,-1.811,-1.342,1
-1.058,-1.006,-1.303,-0.004,1
1.033,-0.261,0.485,-0.23,0
0.748,0.252,1.251,2.612,1
0.814,1.171,-0.562,0.514,1
-0.384,-1.058,-1.369,0.069,0
-0.515,0.346,0.18,0.476,1
-0.887,-0.146,-1.098,-0.118,0
2.034,2.131,-0.193,0.703,0
0.094,0.264,0.182,-1.263,0
-1.082,-0.584,-0.432,-0.316,1
0.991,0.403,1.165,0.146,0
-0.531,-0.088,-0.416,-1.264,0
3.683,0.235,0.511,-0.179,0
0.365,-1.468,-1.168,0.857,1
1.104,1.867,0.647,2.407,0
0.936,-1.637,-0.293,0.009,0
0.934,3.438,1.273,2.265,0
0.152,-0.321,-0.737,0.169,1
3.663,1.281,1.192,1.201,1
0.188,0.454,0.146,-0.567,1
-1.989,-0.362,-1.165,0.126,0
-0.855,-2.055,-1.261,-0.249,0
1.256,-0.559,-1.814,-0.678,1
0.831,0.851,0.734,-0.867,0
-0.774,0.069,0.392,-1.388,1
0.284,0.871,0.466,0.936,1
1.069,1.268,1.75,0.471,0
0.503,-2.012,-1.308,1.167,1
3.059,1.302,1.081,1.694,1
1.164,0.008,0.15,0.31,0
0.378,-0.146,-0.778,0.665,0
-1.683,-0.202,-0.7,-0.713,0
-1.284,0.294,0.372,-1.78,1
0.697,-0.418,0.505,0.782,0
-0.406,0.767,0.831,1.469,0
-0.205,-0.611,0.074,-0.247,1
-0.183,-0.622,-0.479,-1.138,0
-0.597,0.795,0.626,-0.025,0
0.532,1.324,1.09,0.951,1
0.683,0.166,1.467,0.409,0
-0.184,-0.886,-0.661,-1.808,0
0.944,-1.517,-0.483,1.665,0
0.769,0.26,-0.379,1.023,0
-0.285,-2.404,-1.655,-0.315,0
-0.676,-0.283,0.81,-1.41,1
-1.019,-0.427,1.051,-1.583,1
0.557,0.731,1.196,1.127,0
0.076,-1.413,0.175,-0.693,1
0.368,-0.032,-1.172,0.133,1
-1.411,0.591,0.107,0.889,1
-1.098,-1.271,0.236,-0.825,1
1.275,-0.648,-0.858,0.478,1
1.773,0.973,1.695,0.533,1
-0.192,1.4,1.183,0.235,0
3.23,0.74,1.134,-0.758,1
-0.05,-0.227,0.327,-0.231,0
0.137,-0.736,-0.368,0.126,0
-0.048,-2.532,-0.374,-0.029,1
-1.266,-0.814,-0.451,-2.999,0
1.134,1.423,1.68,1.445,0
2.23,0.1,-0.418,0.991,0
0.874,-0.561,-1.186,0.847,0
0.401,-1.84,-1.539,-1.408,1
0.902,-0.477,1.071,-0.395,1
-1.138,0.575,-1.078,0.204,0
1.534,0.133,1.12,-1.2,0
-1.207,-0.794,-0.017,-0.615,0
0.202,0.053,0.343,-1.061,0
0.317,1.025,1.832,1.063,1
-1.576,-0.496,1.029,0.276,1
1.973,1.273,1.741,0.624,0
2.245,2.52,2.276,0.975,0
-1.256,0.6,-0.147,1.476,1
0.536,0.576,0.2,-2.086,1
1.915,-0.011,-0.742,-0.109,0
1.009,-0.403,0.063,-1.37,0
-0.001,0.585,-0.122,0.646,0
-0.264,-1.591,-1.211,-0.569,1
0.717,0.089,-0.762,-0.002,0
3.319,1.32,2.02,2.045,0
2.271,1.28,2.098,2.195,1
0.463,0.38,0.6,-0.748,1
1.055,1.326,0.388,0.684,0
1.211,0.815,0.315,1.32,0
0.053,0.367,0.38,-0.371,0
-0.111,-0.897,-0.886,0.377,1
1.433,-0.87,0.529,1.085,0
1.064,-1.139,-0.224,-0.15,1
0.763,-0.615,1.425,-0.825,1
3.089,1.656,0.349,1.652,1
-0.367,-0.529,0.491,-0.777,1
2.629,1.103,1.051,0.343,0
0.269,-0.394,-0.643,-0.193,0
3.385,0.45,-0.272,-0.708,1
-0.138,1.175,0.279,2.768,0
-1.26,-2.131,-0.467,0.064,0
0.289,0.987,-0.621,-0.792,0
0.091,-0.944,-0.145,-0.029,0
1.912,-0.55,0.358,0.228,0
-1.359,-0.715,-1.731,-2.671,1
1.961,1.312,0.74,-0.1,1
1.088,0.268,-0.3,-1.255,1
0.511,-0.292,-0.596,-0.959,1
0.82,1.286,1.784,1.04,0
2.851,2.34,0.794,-0.526,1
0.933,-0.474,-1.682,-1.043,1
0.574,-0.441,0.537,-0.167,0
0.153,-0.902,0.264,-0.294,1
0.187,0.824,-0.783,0.094,0
-0.488,-0.643,-0.865,-0.563,0
0.58,-0.58,0.388,0.132,0
0.077,-0.645,0.473,0.679,0
-1.245,-1.12,0.478,-0.624,0
-0.75,0.864,-0.084,-0.705,1
-1.056,-1.236,-0.48,-0.667,1
1.147,1.187,0.847,0.402,0
-0.503,-0.834,-0.715,-1.661,1
1.218,1.059,0.865,1.022,0
0.894,0.118,-0.108,0.579,1
-0.31,0.386,0.107,0.805,0
1.757,0.533,0.288,0.058,0
0.795,1.47,0.184,1.084,1
0.636,-0.456,1.209,2.381,1
0.712,-0.068,0.037,-0.042,1
-1.468,-1.619,-1.973,1.344,1
-0.903,-1.816,-1.477,-0.083,1
1.486,0.235,0.527,1.169,0
-2.511,-0.832,-0.531,-2.327,0
0.693,-0.819,-2.388,-1.209,0
1.57,0.28,-0.047,-0.045,0
-0.964,-2.765,-2.132,-2.639,0
-0.144,-1.144,-0.706,-0.317,0
0.705,-0.636,-0.885,-0.588,0
-0.237,0.275,-0.105,-0.273,1
3.059,1.393,2.271,0.678,0
0.895,1.243,1.167,0.94,1
0.424,0.226,1.426,-0.222,1
-0.543,0.156,0.198,0.711,0
0.236,-0.202,-0.85,0.618,0
1.336,-1.473,0.279,1.445,1
0.079,-0.099,-0.007,0.181,1
-1.273,0.512,-0.335,-0.16,0
-0.286,0.116,1.094,1.608,0
0.432,-0.08,0.306,-1.156,1
4.533,1.257,2.002,2.888,1
0.771,0.372,0.338,0.666,0
-0.076,0.263,0.868,-0.63,0
1.808,0.181,1.555,0.159,1
-0.465,-0.367,-0.235,-0.322,0
-0.451,-0.603,-2.445,-0.497,1
-0.827,-0.144,-0.207,1.142,0
2.486,0.873,0.518,1.257,1
-2.77,-0.208,-1.091,0.144,0
0.185,-0.331,-0.805,-1.845,0
-0.382,-1.837,-1.553,0.63,1
0.313,0.513,1.024,0.444,0
2.14,0.605,0.757,-1.374,1
-0.933,-0.383,-0.451,-0.074,0
-0.477,0.645,-0.397,-0.355,1
-0.494,-1.043,-1.57,-1.264,1
1.577,1.37,0.529,0.783,1
-0.847,-0.276,-1.069,-0.703,0
-1.671,0.058,-0.2,-1.246,1
-0.449,-0.913,1.708,-0.043,1
1.61,-2.143,-0.601,2.625,1
