dataset,mechanism,method,missing_rate_target,n_imputations,maxit,n_obs,n_reps,runtime_sec_mean,missing_rate_achieved_mean,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
linear_main,MAR,cart,0.2,20,1,1000,1000,0.3539627385139465,0.199984,x1,0.3,0.2480006419606307,0.0440951700382716,0.1728530665500247,-0.0519993580393692,-17.333119346456428,0.0566376890758438,0.929,0.2227802712247001
linear_main,MAR,cart,0.2,20,1,1000,1000,0.3539627385139465,0.199984,x2,0.3,0.2759471047626903,0.045909465614073,0.1799651052071663,-0.0240528952373096,-8.017631745769886,0.0326080348954324,0.996,0.2056507917846916
linear_main,MAR,cart,0.2,20,1,1000,1000,0.3539627385139465,0.199984,x3,0.2,0.2331547550212602,0.039185084580358,0.1536055315550034,0.0331547550212601,16.577377510630097,0.0393679751776895,0.977,0.2577214109899644
linear_main,MAR,cart,0.2,20,1,1000,1000,0.3539627385139465,0.199984,z,0.25,0.2242322929924587,0.0712752307822257,0.2793989046663248,-0.0257677070075413,-10.307082803016522,0.0404507399750151,1.0,0.2055564826244095
linear_main,MAR,cart,0.3,20,1,1000,1000,0.3783375012874603,0.299985,x1,0.3,0.2497411618678206,0.0474374952795601,0.1859549814958756,-0.0502588381321793,-16.752946044059783,0.0577637083701869,0.917,0.3201447698478298
linear_main,MAR,cart,0.3,20,1,1000,1000,0.3783375012874603,0.299985,x2,0.3,0.2717874794672244,0.049240768497914,0.1930238125118228,-0.0282125205327755,-9.404173510925173,0.0400539743992081,0.992,0.301842788367508
linear_main,MAR,cart,0.3,20,1,1000,1000,0.3783375012874603,0.299985,x3,0.2,0.2245125760289332,0.0421797916641489,0.1653447833234639,0.0245125760289332,12.256288014466612,0.0364140706576578,0.98,0.3512577849915987
linear_main,MAR,cart,0.3,20,1,1000,1000,0.3783375012874603,0.299985,z,0.25,0.205771802460346,0.0764400441353316,0.2996449730105002,-0.044228197539654,-17.691279015861603,0.0593149950182739,0.998,0.3013054884489409
linear_main,MAR,cart,0.5,20,1,1000,1000,0.4238260338306427,0.499706,x1,0.3,0.2527018146823283,0.0568119741827082,0.2227029387962162,-0.0472981853176717,-15.766061772557237,0.0639513840157637,0.924,0.5123855316666495
linear_main,MAR,cart,0.5,20,1,1000,1000,0.4238260338306427,0.499706,x2,0.3,0.2638650679762956,0.0575625468711255,0.2256451837348122,-0.0361349320237043,-12.044977341234778,0.0572233120725054,0.954,0.4765779973149789
linear_main,MAR,cart,0.5,20,1,1000,1000,0.4238260338306427,0.499706,x3,0.2,0.2075256434139815,0.0497231655578296,0.1949148089866923,0.0075256434139815,3.762821706990766,0.0398356243366656,0.981,0.5193267641662146
linear_main,MAR,cart,0.5,20,1,1000,1000,0.4238260338306427,0.499706,z,0.25,0.1656666531245345,0.0885255980725266,0.3470203444443044,-0.0843333468754654,-33.73333875018618,0.09926446921475,0.936,0.4646435177737295
linear_main,MAR,rf,0.2,20,1,1000,1000,2.19890935754776,0.199984,x1,0.3,0.2469465935913775,0.043024967825186,0.1686578738747294,-0.0530534064086224,-17.684468802874157,0.0575989262767251,0.912,0.1825003931877598
linear_main,MAR,rf,0.2,20,1,1000,1000,2.19890935754776,0.199984,x2,0.3,0.2771002006167774,0.0449448545512773,0.1761838298410072,-0.0228997993832225,-7.633266461074198,0.0320574621275845,0.996,0.1695445149849644
linear_main,MAR,rf,0.2,20,1,1000,1000,2.19890935754776,0.199984,x3,0.2,0.2381247916448301,0.0378491143646375,0.1483685283093793,0.03812479164483,19.06239582241504,0.0440226397645995,0.94,0.2043724391264602
