dataset,mechanism,method,missing_rate_target_per_var,n_imputations,maxit_used,n_obs,n_reps,runtime_sec_mean,achieved_missing_overall_mean,achieved_missing_y,achieved_missing_x1,achieved_missing_x2,achieved_missing_x3,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0722975839310048,0.099796299422073,0.3912014937345261,0.0722975839310048,,0.0881171227183261,0.998,0.2987834422682907
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.B],0.0,0.0725704137204989,0.0993832675484086,0.3895824087897621,0.0725704137204989,,0.0868362009213095,0.996,0.2984298994033218
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.0227620533623915,0.1042427205044026,0.4086314643772585,0.0227620533623915,,0.0520740895904881,1.0,0.2564591458090441
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,C(cat)[T.C],0.0,0.0226210330155056,0.1034157059966923,0.4053895675070341,0.0226210330155056,,0.0509200982466292,1.0,0.2497279809019434
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.2920935792760568,0.0806344218480435,0.3160869336443306,-0.0079064207239431,-2.6354735746477087,0.0457955956560392,1.0,0.40547021925622
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1,0.3,0.292130261270166,0.0797142685632959,0.3124799327681201,-0.0078697387298339,-2.6232462432779977,0.044808440966511,1.0,0.3988760304469242
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7907671307879331,0.1184811304230237,0.4644460312582528,-0.0092328692120669,-1.1541086515083656,0.0629368976061814,1.0,0.4901122483061358
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.B],0.8,0.7917154033267939,0.1170956897015106,0.4590151036299217,-0.0082845966732061,-1.035574584150773,0.0622500335123008,1.0,0.490247350061403
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7666355928739096,0.1387359699201849,0.543845002087125,0.0333644071260904,-4.170550890761309,0.0889013883384734,0.988,0.5212270331057441
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x1:C(cat)[T.C],-0.8,-0.7665201274797323,0.1377790505068543,0.5400938779868689,0.0334798725202676,-4.184984065033461,0.0856449095796216,0.992,0.5264921623317373
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2752065021215475,0.0458542578711383,0.1797486908548624,-0.0247934978784525,-8.264499292817506,0.0377933007350129,0.982,0.4238664902154111
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x2,0.3,0.2753384785059102,0.045422057513158,0.1780544654515793,-0.0246615214940898,-8.220507164696611,0.037032994031557,0.99,0.4245880518787411
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1335360456118562,0.0461300284004295,0.1808297113296837,-0.0664639543881437,-33.23197719407187,0.0720550176602552,0.774,0.4309566211933969
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,x3,0.2,0.1330842082415822,0.0457134960344562,0.1791969044550685,-0.0669157917584177,-33.45789587920886,0.0722242293234871,0.784,0.4318340136320116
categorical_interaction,MAR_cross,cart,0.2,10,10,1000,500,3.843247136592865,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.1394108110192173,0.081480217742928,0.319402453552278,-0.1105891889807827,-44.2356755923131,0.1163681119686202,0.888,0.2663426591032087
categorical_interaction,MAR_cross,cart,0.2,20,10,1000,500,7.61194466304779,0.200413,0.200448,0.200038,0.200692,0.2004739999999999,z,0.25,0.13950427421607,0.0810289200668042,0.3176333666618726,-0.1104957257839299,-44.19829031357197,0.1159097069137494,0.9,0.2642536165123323
