dataset,mechanism,method,missing_rate_target_per_var,n_imputations,maxit_used,n_obs,n_reps,runtime_sec_mean,achieved_missing_overall_mean,achieved_missing_y,achieved_missing_x1,achieved_missing_x2,achieved_missing_x3,param,true,mean_estimate,mean_std_error,mean_ci_width,mean_bias,pct_bias,rmse,coverage_rate,mean_fmi
linear_main,MAR_cross,cart,0.2,20,10,1000,500,5.827159208774567,0.2000235,0.2002,0.199752,0.199798,0.200344,x1,0.3,0.243935314488083,0.0531201387127588,0.2082309437540146,-0.0560646855119169,-18.6882285039723,0.0682821709975932,0.898,0.4567936333752275
linear_main,MAR_cross,cart,0.2,10,10,1000,500,2.9494106850624084,0.2000235,0.2002,0.199752,0.199798,0.200344,x1,0.3,0.2439050457785583,0.0534870513894456,0.209669241446627,-0.0560949542214416,-18.69831807381388,0.0689721121529819,0.884,0.4540922917457717
linear_main,MAR_cross,cart,0.2,20,10,1000,500,5.827159208774567,0.2000235,0.2002,0.199752,0.199798,0.200344,x2,0.3,0.2636809705854709,0.0542625065371589,0.2127090256256629,-0.0363190294145289,-12.106343138176328,0.0510230815610903,0.97,0.4231204021198233
linear_main,MAR_cross,cart,0.2,10,10,1000,500,2.9494106850624084,0.2000235,0.2002,0.199752,0.199798,0.200344,x2,0.3,0.2635380354407813,0.0547075950061448,0.2144537724240877,-0.0364619645592187,-12.153988186406234,0.0516108295631067,0.96,0.4234975466132021
linear_main,MAR_cross,cart,0.2,20,10,1000,500,5.827159208774567,0.2000235,0.2002,0.199752,0.199798,0.200344,x3,0.2,0.2371504452536732,0.0446074145546846,0.1748610650543639,0.0371504452536732,18.575222626836613,0.0471127083608505,0.944,0.4132263778118371
linear_main,MAR_cross,cart,0.2,10,10,1000,500,2.9494106850624084,0.2000235,0.2002,0.199752,0.199798,0.200344,x3,0.2,0.2370790541197789,0.0449229398464937,0.1760979241982553,0.0370790541197789,18.53952705988946,0.0473694354092351,0.936,0.4135589658173762
linear_main,MAR_cross,cart,0.2,20,10,1000,500,5.827159208774567,0.2000235,0.2002,0.199752,0.199798,0.200344,z,0.25,0.219210097316528,0.0723934625182034,0.2837823730713576,-0.0307899026834719,-12.315961073388795,0.0443831186863371,0.998,0.2213487808712104
linear_main,MAR_cross,cart,0.2,10,10,1000,500,2.9494106850624084,0.2000235,0.2002,0.199752,0.199798,0.200344,z,0.25,0.2198804106777603,0.0728102095895403,0.2854160215909983,-0.0301195893222396,-12.047835728895851,0.044796707430439,0.998,0.2258006871969042
linear_main,MAR_cross,cart,0.4,20,10,1000,500,7.508041718482971,0.400176,0.399258,0.40019,0.401024,0.400232,x1,0.3,0.2433659607542799,0.0725193390745667,0.2842758091723018,-0.05663403924572,-18.878013081906676,0.0812234392091263,0.928,0.6951057656703435
linear_main,MAR_cross,cart,0.4,10,10,1000,500,3.758180121898651,0.400176,0.399258,0.40019,0.401024,0.400232,x1,0.3,0.243971684715692,0.073903520215363,0.289701799244223,-0.0560283152843079,-18.676105094769312,0.0815490208143969,0.922,0.6923906427312349
linear_main,MAR_cross,cart,0.4,20,10,1000,500,7.508041718482971,0.400176,0.399258,0.40019,0.401024,0.400232,x2,0.3,0.239157016637923,0.0739261006058678,0.2897903143750018,-0.0608429833620769,-20.280994454025656,0.0830735087435769,0.91,0.6722524731795324
linear_main,MAR_cross,cart,0.4,10,10,1000,500,3.758180121898651,0.400176,0.399258,0.40019,0.401024,0.400232,x2,0.3,0.2386479102277436,0.0745829043313731,0.2923649849789826,-0.0613520897722563,-20.45069659075213,0.0842022651135555,0.904,0.662263127084882
linear_main,MAR_cross,cart,0.4,20,10,1000,500,7.508041718482971,0.400176,0.399258,0.40019,0.401024,0.400232,x3,0.2,0.231786093166468,0.0600283328917556,0.2353110649356821,0.031786093166468,15.89304658323401,0.0618808825320061,0.93,0.6580807120052131
linear_main,MAR_cross,cart,0.4,10,10,1000,500,3.758180121898651,0.400176,0.399258,0.40019,0.401024,0.400232,x3,0.2,0.2316611547927231,0.0607463078097455,0.2381255266142026,0.0316611547927231,15.830577396361551,0.0629894387580126,0.93,0.6550028821506838
linear_main,MAR_cross,cart,0.4,20,10,1000,500,7.508041718482971,0.400176,0.399258,0.40019,0.401024,0.400232,z,0.25,0.1771618904169904,0.0832281463795437,0.3262543338078116,-0.0728381095830095,-29.135243833203816,0.0848828613462354,0.98,0.3918109851420039
linear_main,MAR_cross,cart,0.4,10,10,1000,500,3.758180121898651,0.400176,0.399258,0.40019,0.401024,0.400232,z,0.25,0.1772056929946232,0.0839172401521925,0.3289555813965948,-0.0727943070053768,-29.117722802150723,0.0858669444040997,0.964,0.3920668361331036
linear_main,MAR_cross,rf,0.2,20,10,1000,500,76.14860570001602,0.2000235,0.2002,0.199752,0.199798,0.200344,x1,0.3,0.2459499817205041,0.0516892661471388,0.2026219232967843,-0.0540500182794958,-18.016672759831938,0.0673375478287014,0.884,0.4288569849669562
linear_main,MAR_cross,rf,0.2,10,10,1000,500,38.79253158760071,0.2000235,0.2002,0.199752,0.199798,0.200344,x1,0.3,0.2461856799057543,0.052045687882785,0.2040190965005172,-0.0538143200942457,-17.938106698081903,0.0674950997423823,0.886,0.4271836681194977
linear_main,MAR_cross,rf,0.2,20,10,1000,500,76.14860570001602,0.2000235,0.2002,0.199752,0.199798,0.200344,x2,0.3,0.2621060481331074,0.0531349052885062,0.2082888287309446,-0.0378939518668926,-12.631317288964205,0.0531041924759402,0.964,0.3990059068818493
linear_main,MAR_cross,rf,0.2,10,10,1000,500,38.79253158760071,0.2000235,0.2002,0.199752,0.199798,0.200344,x2,0.3,0.2616450919599037,0.0534234286092759,0.2094198401483615,-0.0383549080400962,-12.784969346698755,0.054006656279852,0.95,0.3970687676203662
