method,mechanism,dataset,missing_rate,n_imputations,param,mean_bias,mean_perc_bias,mean_cov_rate,mean_ci_width,mean_fmi,mean_runtime,total_reps
CART,MAR,large,0.2,10,I(x1 * x2),-0.1117193656035787,-9.30994713363156,0.496,0.22117581409801051,0.3636781307524417,0.23950250363349912,500.0
CART,MAR,large,0.2,10,I(x2 ** 2),0.0302748129319039,6.054962586380784,0.981,0.1930567512922671,0.3748024191515055,0.23950250363349912,500.0
CART,MAR,large,0.2,10,I(x3 * z),-0.09878888916089926,-32.92962972029977,0.9299999999999999,0.3238927227803543,0.30487279253927935,0.23950250363349912,500.0
CART,MAR,large,0.2,10,x1,-0.060799588559962855,-20.266529519987646,0.92,0.19431876027856895,0.27368912333767575,0.23950250363349912,500.0
CART,MAR,large,0.2,10,x2,-0.035299117755992704,-11.766372585330917,0.984,0.20873724988466724,0.29473146459119093,0.23950250363349912,500.0
CART,MAR,large,0.2,10,x3,0.040016056163744,20.00802808187202,1.0,0.22696135759860375,0.21361624076972285,0.23950250363349912,500.0
CART,MAR,large,0.2,10,z,-0.08040342558877134,-32.16137023550854,0.979,0.3109701840490827,0.2428646432137207,0.23950250363349912,500.0
CART,MAR,large,0.2,20,I(x1 * x2),-0.11138180157570535,-9.28181679797545,0.498,0.2196914573686826,0.3624880816017086,0.46954766726493835,500.0
CART,MAR,large,0.2,20,I(x2 ** 2),0.02976577326446135,5.953154652892276,0.982,0.1914377513647446,0.3730983331241788,0.46954766726493835,500.0
CART,MAR,large,0.2,20,I(x3 * z),-0.09950938819932895,-33.169796066443,0.947,0.3230226609487385,0.3061232645997335,0.46954766726493835,500.0
CART,MAR,large,0.2,20,x1,-0.06069794956336626,-20.23264985445544,0.916,0.1934694233242043,0.27133448662164145,0.46954766726493835,500.0
CART,MAR,large,0.2,20,x2,-0.0353413309167995,-11.780443638933178,0.989,0.2081751425175405,0.29643880294703345,0.46954766726493835,500.0
CART,MAR,large,0.2,20,x3,0.0401658854235256,20.082942711762833,1.0,0.226525035817397,0.2134294877751676,0.46954766726493835,500.0
CART,MAR,large,0.2,20,z,-0.0803627437142887,-32.1450974857155,0.983,0.309290923939913,0.23852263902371124,0.46954766726493835,500.0
CART,MAR,large,0.3,10,I(x1 * x2),-0.1557139220614887,-12.976160171790728,0.306,0.25862844751813024,0.48273679214289755,0.2502287867069244,500.0
CART,MAR,large,0.3,10,I(x2 ** 2),0.038852471025719204,7.770494205143846,0.955,0.22619067148115118,0.49476869919274574,0.2502287867069244,500.0
CART,MAR,large,0.3,10,I(x3 * z),-0.13818672735965243,-46.06224245321751,0.812,0.3592252916355394,0.3811956966443586,0.2502287867069244,500.0
CART,MAR,large,0.3,10,x1,-0.06685348687799395,-22.284495625997998,0.884,0.21945791818449173,0.37547162811388746,0.2502287867069244,500.0
