method,mechanism,dataset,missing_rate,n_imputations,param,bootstrap,max_depth,max_features,min_samples_leaf,n_estimators,min_impurity_decrease,avg_estimate,avg_bias,avg_perc_bias,coverage_rate,avg_ci_width,avg_fmi,avg_runtime,n_reps
CART,MAR,large,0.2,10,I(x1 * x2),,None,,5.0,,0.0001,1.097,-0.103,-8.614,0.562,0.215,0.346,0.242,500.0
CART,MAR,large,0.2,10,I(x2 ** 2),,None,,5.0,,0.0001,0.53,0.03,6.007,0.98,0.188,0.359,0.242,500.0
CART,MAR,large,0.2,10,I(x3 * z),,None,,5.0,,0.0001,0.205,-0.095,-31.56,0.946,0.319,0.301,0.242,500.0
CART,MAR,large,0.2,10,x1,,None,,5.0,,0.0001,0.242,-0.058,-19.454,0.93,0.191,0.27,0.242,500.0
CART,MAR,large,0.2,10,x2,,None,,5.0,,0.0001,0.266,-0.034,-11.338,0.984,0.204,0.284,0.242,500.0
CART,MAR,large,0.2,10,x3,,None,,5.0,,0.0001,0.241,0.041,20.717,1.0,0.224,0.211,0.242,500.0
CART,MAR,large,0.2,10,z,,None,,5.0,,0.0001,0.174,-0.076,-30.299,0.982,0.305,0.235,0.242,500.0
CART,MAR,large,0.2,10,I(x1 * x2),,None,,10.0,,0.0001,1.08,-0.12,-10.006,0.43,0.227,0.381,0.237,500.0
CART,MAR,large,0.2,10,I(x2 ** 2),,None,,10.0,,0.0001,0.531,0.031,6.102,0.982,0.198,0.391,0.237,500.0
CART,MAR,large,0.2,10,I(x3 * z),,None,,10.0,,0.0001,0.197,-0.103,-34.299,0.914,0.329,0.308,0.237,500.0
CART,MAR,large,0.2,10,x1,,None,,10.0,,0.0001,0.237,-0.063,-21.079,0.91,0.197,0.277,0.237,500.0
CART,MAR,large,0.2,10,x2,,None,,10.0,,0.0001,0.263,-0.037,-12.195,0.984,0.213,0.306,0.237,500.0
CART,MAR,large,0.2,10,x3,,None,,10.0,,0.0001,0.239,0.039,19.299,1.0,0.23,0.216,0.237,500.0
CART,MAR,large,0.2,10,z,,None,,10.0,,0.0001,0.165,-0.085,-34.024,0.976,0.317,0.25,0.237,500.0
CART,MAR,large,0.2,20,I(x1 * x2),,None,,5.0,,0.0001,1.097,-0.103,-8.604,0.55,0.213,0.342,0.474,500.0
CART,MAR,large,0.2,20,I(x2 ** 2),,None,,5.0,,0.0001,0.53,0.03,5.981,0.984,0.187,0.358,0.474,500.0
CART,MAR,large,0.2,20,I(x3 * z),,None,,5.0,,0.0001,0.205,-0.095,-31.673,0.952,0.317,0.298,0.474,500.0
